,Accuracy - SARSA,Nb episodes - SARSA,Accuracy - QLearning,Nb episodes - QLearning
Fixed $\epsilon$ : $\epsilon$ = 0.1,1.0,289.2,1.0,265.6
Fixed $\epsilon$ : $\epsilon$ = 0.3,1.0,314.4,1.0,334.8
Fixed $\epsilon$ : $\epsilon$ = 0.5,1.0,312.6,1.0,379.4
Fixed $\epsilon$ : $\epsilon$ = 0.7,1.0,323.2,1.0,346.4
Fixed $\epsilon$ : $\epsilon$ = 0.9,1.0,289.8,1.0,300.0
Decaying-$\epsilon$ : decaying rate = 0.9,1.0,283.4,1.0,315.8
Decaying-$\epsilon$ : decaying rate = 0.99,1.0,318.8,1.0,350.6
Decaying-$\epsilon$ : decaying rate = 0.999,1.0,314.0,1.0,287.0
Softmax : $	au$ = 1,0.0,1000.0,0.0,1000.0
Softmax : $	au$ = 0.1,0.4,1000.0,0.2,1000.0
Softmax : $	au$ = 0.01,1.0,337.4,1.0,353.6
Softmax : $	au$ = 0.001,1.0,194.4,1.0,203.6
